title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Changing Lanes,movie,"Drama, Thriller",2002,tt0264472,6.5,76575
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,450604
Down by Law,movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57204
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43498
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250606
Resident Evil,movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,300010
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,216247
The Holiday,movie,"Comedy, Romance",2006,tt0457939,7,349352
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12176
School of Rock,movie,"Comedy, Music",2003,tt0332379,7.2,345950
Secret Window,movie,"Drama, Mystery, Thriller",2004,tt0363988,6.5,216273
What's Eating Gilbert Grape,movie,Drama,1993,tt0108550,7.7,262374
Bring It On,movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110371
Primal Fear,movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,262400
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,183341
Liar Liar,movie,"Comedy, Fantasy",1997,tt0119528,6.9,350583
The People vs. Larry Flynt,movie,"Biography, Drama",1996,tt0117318,7.3,103551
Fried Green Tomatoes,movie,Drama,1991,tt0101921,7.7,87778
Free Willy,movie,"Adventure, Drama, Family",1993,tt0106965,6.1,86276
The Island,movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334631
Forces of Nature,movie,"Comedy, Romance",1999,tt0141098,5.5,36759
The Net,movie,"Action, Crime, Drama",1995,tt0113957,6,77387
Freedom Writers,movie,"Biography, Crime, Drama",2007,tt0463998,7.6,89716
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004,tt0318462,7.7,107097
The Legend of Zorro,movie,"Action, Adventure, Romance",2005,tt0386140,6,111510
Hostel,movie,Horror,2005,tt0450278,5.9,198682
Hostel: Part II,movie,Horror,2007,tt0498353,5.5,99473
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14412
The Cider House Rules,movie,"Drama, Romance",1999,tt0124315,7.4,107492
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,545664
Iron Man,movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1176677
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008,tt0865556,6.5,111805
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,358281
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,171016
Footloose,movie,"Drama, Music, Romance",1984,tt0087277,6.6,98279
The Devil's Advocate,movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,424666
"You, Me and Dupree",movie,"Comedy, Romance",2006,tt0463034,5.6,85721
50 First Dates,movie,"Comedy, Drama, Romance",2004,tt0343660,6.8,399526
Russian Dolls,movie,"Comedy, Drama, Romance",2005,tt0409184,6.9,21665
Rent,movie,"Drama, Musical, Romance",2005,tt0294870,6.8,57158
We Shall Overcome,movie,"Drama, Family",2006,tt0425235,7.2,3028
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,698121
Fantomas Unleashed,movie,"Adventure, Comedy, Crime",1965,tt0059168,6.8,8819
Fantomas,movie,"Adventure, Comedy, Crime",1964,tt0058089,6.9,12935
Fantomas vs. Scotland Yard,movie,"Adventure, Comedy, Crime",1967,tt0060400,6.7,8387
The Karate Kid,movie,"Action, Drama, Family",1984,tt0087538,7.3,260406
Marie Antoinette,movie,"Biography, Drama, History",2006,tt0422720,6.5,127577
Traffic,movie,"Crime, Drama, Thriller",2000,tt0181865,7.5,225393
Open Your Eyes,movie,"Drama, Mystery, Sci-Fi",1997,tt0125659,7.7,75374
